sr,sg,sb,cr,cg,cb,mr,mg,mb,tr,tg,tb,y_matrix,y_target,rr,rg,rb
0.1254902,0.11764706,0.16078432,0.08235294,0.078431375,0.101960786,0.13147976,0.15985778,0.11515051,0.08426937,0.1024577,0.073803455,0.15059674,0.080963925,-0.0019164234,-0.024026327,0.028157331
0.043137256,0.0627451,0.07450981,0.019607844,0.03529412,0.039215688,0.047986686,0.07903125,0.05463953,0.023070969,0.03799653,0.026269514,0.07067009,0.032242354,-0.0034631249,-0.0027024113,0.012946174
0.05490196,0.047058824,0.05882353,0.043137256,0.02745098,0.03137255,0.056503788,0.06356325,0.041725263,0.025556317,0.028749269,0.01887208,0.060485706,0.03106902,0.01758094,-0.0012982879,0.0125004705
0.07058824,0.050980393,0.078431375,0.02745098,0.019607844,0.023529412,0.0721226,0.07374331,0.055322297,0.03493561,0.035720665,0.026797675,0.07206875,0.021558432,-0.007484628,-0.016112821,-0.0032682624
0.09803922,0.09411765,0.1254902,0.05882353,0.0627451,0.078431375,0.102872014,0.12684733,0.089960404,0.059636615,0.0735355,0.052151542,0.11908694,0.06304392,-0.0008130856,-0.0107904,0.026279833
0.11372549,0.11372549,0.14509805,0.07450981,0.078431375,0.09411765,0.11963484,0.15113613,0.10419184,0.07360199,0.09298228,0.064101115,0.14104958,0.0787302,0.000907816,-0.014550902,0.030016534
0.09803922,0.101960786,0.10980392,0.05490196,0.07058824,0.06666667,0.10249512,0.13062485,0.07873765,0.059794348,0.07620487,0.04593454,0.12089821,0.0669702,-0.0048923865,-0.005616635,0.02073213
0.003921569,0.0,0.007843138,0.0,0.0,0.007843138,0.0040111216,0.0022776301,0.005523349,0.0011444833,0.00064987055,0.0015759636,0.0028805113,0.00056627457,-0.0011444833,-0.00064987055,0.006267174
0.047058824,0.05882353,0.078431375,0.02745098,0.03137255,0.039215688,0.05147458,0.07696248,0.057119288,0.024679516,0.036899704,0.027385874,0.07011108,0.031105101,0.002771465,-0.0055271536,0.011829814
0.015686275,0.08627451,0.14117648,0.0,0.05882353,0.08627451,0.028978828,0.109646596,0.106362395,0.01549635,0.058633223,0.056877002,0.09225951,0.04829961,-0.01549635,0.00019030645,0.02939751
0.019607844,0.011764706,0.023529412,0.003921569,0.0,0.007843138,0.019964712,0.018692847,0.016552597,0.0053145257,0.00497596,0.0044062342,0.018808719,0.0014000001,-0.0013929568,-0.00497596,0.0034369035
